user_id,edition_id,read
2143087,2895390,0
2143087,2895397,0
2143087,2895399,0
2143087,2895401,0
2142664,2895390,0
2142664,2895397,0
2142664,2895399,0
2142664,2895401,0
2143331,2895390,0
2143331,2895396,0
2143331,2895399,0
2143331,2895401,0
2142282,2895390,0
2142282,2895396,0
2142282,2895398,0
2142282,2895401,0
2142924,2895389,0
2142924,2895396,0
2142924,2895400,0
2142924,2895401,0
2142194,2895390,0
2142194,2895397,0
2142194,2895399,0
2142194,2895401,0
2143566,2895390,0
2143566,2895396,0
2143566,2895399,0
2143566,2895401,0
2142517,2895389,0
2142517,2895397,0
2142517,2895399,0
2142517,2895401,0
2143159,2895390,0
2143159,2895396,0
2143159,2895400,0
2143159,2895401,0
2142761,2895390,0
2142761,2895397,0
2142761,2895399,0
2142761,2895401,0
2142047,2895389,0
2142047,2895397,0
2142047,2895399,0
2142047,2895401,0
2143403,2895390,0
2143403,2895397,0
2143403,2895399,1
2143403,2895401,0
2142354,2895389,0
2142354,2895397,0
2142354,2895399,0
2142354,2895401,0
2142996,2895389,0
2142996,2895396,0
2142996,2895399,0
2142996,2895401,0
2143240,2895390,0
2143240,2895397,0
2143240,2895398,0
2143240,2895401,0
2142463,2895389,0
2142463,2895396,0
2142463,2895398,0
2142463,2895401,0
2143089,2895389,0
2143089,2895397,0
2143089,2895398,0
2143089,2895401,0
2142119,2895389,0
2142119,2895396,0
2142119,2895400,0
2142119,2895401,0
2142682,2895389,0
2142682,2895397,0
2142682,2895399,0
2142682,2895401,0
2143349,2895390,0
2143349,2895397,0
2143349,2895400,0
2143349,2895401,0
2142300,2895389,0
2142300,2895397,0
2142300,2895398,0
2142300,2895401,0
2142942,2895390,0
2142942,2895396,0
2142942,2895399,0
2142942,2895401,0
2142535,2895389,0
2142535,2895397,0
2142535,2895399,0
2142535,2895401,0
2143161,2895389,0
2143161,2895397,0
2143161,2895398,0
2143161,2895401,0
2143421,2895390,0
2143421,2895396,0
2143421,2895399,0
2143421,2895401,0
2142372,2895390,0
2142372,2895396,0
2142372,2895399,0
2142372,2895401,0
2143014,2895389,0
2143014,2895397,0
2143014,2895398,0
2143014,2895401,0
2142607,2895389,0
2142607,2895397,0
2142607,2895398,0
2142607,2895401,0
2143258,2895390,0
2143258,2895396,0
2143258,2895399,0
2143258,2895401,0
2142209,2895389,0
2142209,2895397,0
2142209,2895399,0
2142209,2895401,0
2142851,2895389,0
2142851,2895396,0
2142851,2895399,0
2142851,2895401,0
2142700,2895390,0
2142700,2895396,0
2142700,2895399,0
2142700,2895401,1
2099000,2895390,0
2099000,2895396,0
2099000,2895400,0
2099000,2895401,0
2142318,2895390,0
2142318,2895396,0
2142318,2895399,0
2142318,2895401,0
2142944,2895389,0
2142944,2895397,0
