user_id,edition_id,chapter_id,percent,event_class,event_obj_id,event_type,event_info,device,version,timezone,country,edition_language,offline,created_at,updated_at
2142485,2895389,,,Edition,2895389,more,,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",web,0,,en,0,2019-12-10T13:20:31.960Z,2019-12-10T13:20:33.562Z
2142485,2895400,,,Edition,2895400,view,"{""position"":""1"",""screen_width"":""1894"",""list_type"":""grid""}","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",web,0,,en,0,2019-12-10T13:21:26.116Z,2019-12-10T13:21:28.682Z
2142284,2895389,,,Edition,2895389,download,,Dart/2.5 (dart:io),web,0,,en,0,2019-12-10T13:22:46.077Z,2019-12-10T13:22:49.020Z
2142282,2895396,,,Edition,2895396,download,,Dart/2.5 (dart:io),web,0,,en,0,2019-12-10T13:24:31.917Z,2019-12-10T13:24:34.351Z
2142282,2895396,,,Edition,2895396,remove_download,,Dart/2.5 (dart:io),web,0,,en,0,2019-12-10T13:25:21.323Z,2019-12-10T13:25:24.549Z
2142282,2895396,,,Edition,2895396,download,,Dart/2.5 (dart:io),web,0,,en,0,2019-12-10T13:25:33.831Z,2019-12-10T13:25:34.565Z
2142501,2895397,,,Edition,2895397,view,"{""position"":""3"",""screen_width"":""320"",""list_type"":""grid""}","Mozilla/5.0 (Linux; Android 9; SM-A405FN) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36",web,0,,en,0,2019-12-10T13:26:38.403Z,2019-12-10T13:26:39.847Z
2142282,2895396,,,Edition,2895396,read,,Dart/2.5 (dart:io),web,0,,en,0,2019-12-10T13:26:44.816Z,2019-12-10T13:26:44.951Z
2142282,2895396,,,Edition,2895396,close,,Dart/2.5 (dart:io),web,0,,en,0,2019-12-10T13:26:50.264Z,2019-12-10T13:26:55.037Z
2142501,2895397,,,Edition,2895397,more,,"Mozilla/5.0 (Linux; Android 9; SM-A405FN) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36",web,0,,en,0,2019-12-10T13:26:59.038Z,2019-12-10T13:27:00.109Z
